individual,ecotype,long,lat,ann_mean_temp,mean_diurnal_range,temp_seasonality,max_temp_warmest_month,min_temp_coldest_month,ann_precip,precip_seasonality,precip_coldest_quarter,land_cover,ndvi,elev,percent_tree_cover
TT_TU9204.CEL,Pop_1_WestForest,-133.595031,69.506251,-109,70,14425,149,-314,154,65,17,7,5151,6,1
WW_27607.CEL,Pop_1_WestForest,-137.38,60.1,-19,116,9566,180,-214,702,32,199,7,8842,911,31
WW_AK9203.CEL,Pop_1_WestForest,-137.333,68.817,-102,84,13777,159,-311,228,66,20,1,7674,85,1
WW_KNP04.CEL,Pop_1_WestForest,-140.52,65.12,-84,122,14886,196,-341,265,66,35,7,7589,947,39
WW_KNP19.CEL,Pop_1_WestForest,-139.75,60.83,-119,99,8759,73,-276,683,36,135,15,0,3141,0
WW_MP9301.CEL,Pop_2_BorealForest,-134.833,67.667,-87,92,15793,196,-335,290,36,56,7,8217,1,26
WW_NW09.CEL,Pop_1_WestForest,-125.568972,64.902413,-59,99,16021,223,-315,333,52,41,10,7159,17,18
WW_NW32.CEL,Pop_1_WestForest,-126.82,65.27,-56,115,15421,228,-302,319,49,52,7,0,21,39
WW_PMY02.CEL,Pop_1_WestForest,-130.12,61.58,-59,129,12563,180,-305,483,30,102,1,7849,1149,45
WW_PMY03.CEL,Pop_1_WestForest,-135.83,63.58,-39,126,14514,224,-328,301,49,55,8,8095,576,45
WW_PMY04.CEL,Pop_1_WestForest,-135.2,60.9,-19,113,11219,200,-243,264,43,51,1,6540,778,29
WW_PMY09.CEL,Pop_1_WestForest,-128.22,60.08,-34,121,13880,209,-316,453,32,94,1,7892,623,41
WW_PMY41155.CEL,Pop_1_WestForest,-132.13,60.22,-31,118,11117,186,-261,399,30,89,8,7554,1204,41
WW_UAM36555.CEL,Pop_2_BorealForest,-124.25,57.083,-13,108,10316,188,-218,497,37,111,8,8412,1135,26
WW_UAM63745.CEL,Pop_1_WestForest,-147.866,66.316,-49,117,15124,222,-301,275,54,46,1,8116,104,39
WW_UAM87092.CEL,Pop_1_WestForest,-160.764496,67.890492,-80,70,12185,132,-267,218,69,31,7,6308,152,1
WW_UAM87093.CEL,Pop_1_WestForest,-160.808,62.204,-30,85,10989,170,-210,411,66,60,1,7969,195,45
WW_UAM87094.CEL,Pop_1_WestForest,-149.604,68.633,-113,115,14624,167,-353,225,64,31,7,7005,730,1
WW_UAM87939.CEL,Pop_1_WestForest,-155.597,62.956,-34,107,13462,203,-269,437,54,72,1,7268,101,45
WW_UAM87965.CEL,Pop_1_WestForest,-148.04,62.061,-73,98,9352,126,-231,462,46,86,7,3463,1843,0
WW_Y48.CEL,Pop_1_WestForest,-120.92,56.23,18,103,10913,218,-192,468,45,84,12,7903,649,0
